User ID,Age,Gender,Country,Device,Subscription Tier,User Segment,Tenure (Months),Onboarding Completed,Session Freq (per week),Feature Adoption Count,Support Tickets,Errors Encountered,Task Completion (%),Avg Time on Task (sec),Days Since Last Login,NPS Score (0–10),NPS Category,Sentiment Label,SUS Q1 (I think I would like to use this product frequently),SUS Q2 (I found the product unnecessarily complex),SUS Q3 (I thought the product was easy to use),SUS Q4 (I think I would need support to use this product),SUS Q5 (I found the various functions well integrated),SUS Q6 (I thought there was too much inconsistency),SUS Q7 (Most people would learn to use this product quickly),SUS Q8 (I found the product very cumbersome to use),SUS Q9 (I felt very confident using the product),SUS Q10 (I needed to learn a lot before using this product),SUS Score (0–100),SUS Grade,UMUX-Lite Q1 – Capability (1–7),UMUX-Lite Q2 – Ease (1–7),UMUX-Lite Score (0–100),CSAT (1–5),"Churn Risk (0=No, 1=Yes)",Renewal Intent
U0001,39,Male,UK,Mobile,Free,Returning,8,Yes,7.5,15,0,0,97.1,256,7,8,Passive,Neutral,5,2,5,2,5,2,5,3,3,3,77.5,B,3,5,50.0,3,1,Unsure
U0002,33,Male,UK,Desktop,Free,Returning,2,Yes,5.8,17,0,1,92.3,173,11,7,Passive,Neutral,4,1,5,3,3,3,5,3,3,2,70.0,B,4,4,50.0,4,0,Unsure
U0003,40,Female,UK,Desktop,Basic,Returning,23,Yes,4.9,15,4,0,59.6,218,33,6,Detractor,Negative,4,2,4,2,3,3,3,2,4,3,65.0,C,7,5,83.3,5,0,Unsure
U0004,49,Female,USA,Mobile,Basic,New,7,Yes,4.2,15,1,2,63.7,259,1,5,Detractor,Negative,4,2,5,1,4,1,5,1,4,1,90.0,A+,6,7,91.7,5,1,Unsure
U0005,32,Male,Canada,Desktop,Free,Power User,27,Yes,5.1,13,0,2,63.4,298,8,7,Passive,Neutral,4,4,3,1,4,2,5,2,4,3,70.0,B,5,3,50.0,2,0,Unsure
U0006,32,Non-binary,Germany,Tablet,Enterprise,New,11,Yes,2.1,19,1,1,97.6,166,22,10,Promoter,Positive,2,1,3,1,4,3,5,2,4,1,75.0,B,4,6,66.7,3,1,Unsure
U0007,50,Male,Germany,Mobile,Pro,Power User,12,Yes,5.2,14,1,1,58.1,326,16,1,Detractor,Negative,5,2,5,2,5,2,3,3,3,1,77.5,B,2,5,41.7,3,0,Unsure
U0008,42,Female,USA,Desktop,Basic,Power User,27,No,5.7,14,0,4,81.0,240,6,8,Passive,Neutral,4,2,3,1,4,2,3,2,3,3,67.5,C,1,4,25.0,3,1,Unsure
U0009,29,Female,Spain,Desktop,Pro,Returning,9,Yes,8.6,12,0,5,86.0,143,27,8,Passive,Neutral,4,2,5,1,4,2,4,1,5,4,80.0,A,6,5,75.0,3,0,Unsure
U0010,39,Female,USA,Desktop,Free,Returning,11,No,4.5,5,0,1,76.1,288,18,5,Detractor,Negative,4,4,5,2,3,1,4,2,3,2,70.0,B,3,4,41.7,3,1,Unsure
